[INFO] Connecting to vehicle at 127.0.0.1:14550 ...
[INFO] Setting GUIDED mode ...
[INFO] Arming motors ...
[INFO] Taking off to 15.0 m ...
[TAKEOFF] Alt: 0.11 m
[INFO] Target altitude reached (≈95%).
[INFO] Loading YOLO model: yolo11l.pt
[INFO] Entering detection + control loop ... (press 'q' to quit window)
[CONTROL] det_conf=0.55 | err_x=108.5px err_y=-60.1px | cmd vx=5.00 vy=2.17 vz=-1.80 | meas vx=-0.01 vy=0.00 vz=-0.08 | Alt=0.55
[CONTROL] det_conf=0.55 | err_x=109.0px err_y=-61.2px | cmd vx=5.00 vy=2.18 vz=-1.84 | meas vx=-0.01 vy=0.00 vz=-0.08 | Alt=0.60
[CONTROL] det_conf=0.51 | err_x=107.0px err_y=-60.1px | cmd vx=5.00 vy=2.14 vz=-1.80 | meas vx=-0.01 vy=0.00 vz=-0.08 | Alt=0.62
[CONTROL] det_conf=0.51 | err_x=108.8px err_y=-60.0px | cmd vx=5.00 vy=2.18 vz=-1.80 | meas vx=-0.01 vy=-0.01 vz=-0.08 | Alt=0.63
[CONTROL] det_conf=0.56 | err_x=108.8px err_y=-60.2px | cmd vx=5.00 vy=2.18 vz=-1.81 | meas vx=-0.01 vy=-0.01 vz=-0.08 | Alt=0.63
[CONTROL] det_conf=0.54 | err_x=108.5px err_y=-60.1px | cmd vx=5.00 vy=2.17 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.65
[CONTROL] det_conf=0.53 | err_x=108.7px err_y=-60.2px | cmd vx=5.00 vy=2.17 vz=-1.81 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.65
[CONTROL] det_conf=0.53 | err_x=107.3px err_y=-60.3px | cmd vx=5.00 vy=2.15 vz=-1.81 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.66
[CONTROL] det_conf=0.43 | err_x=107.9px err_y=-60.0px | cmd vx=5.00 vy=2.16 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.66
[CONTROL] det_conf=0.50 | err_x=108.7px err_y=-60.2px | cmd vx=5.00 vy=2.17 vz=-1.81 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.68
[CONTROL] det_conf=0.57 | err_x=108.6px err_y=-60.8px | cmd vx=5.00 vy=2.17 vz=-1.82 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.68
[CONTROL] det_conf=0.58 | err_x=108.9px err_y=-60.1px | cmd vx=5.00 vy=2.18 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.68
[CONTROL] det_conf=0.59 | err_x=108.8px err_y=-60.1px | cmd vx=5.00 vy=2.18 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.68
[CONTROL] det_conf=0.59 | err_x=108.8px err_y=-60.1px | cmd vx=5.00 vy=2.18 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.68
[CONTROL] det_conf=0.53 | err_x=108.5px err_y=-60.1px | cmd vx=5.00 vy=2.17 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.68
[CONTROL] det_conf=0.50 | err_x=108.3px err_y=-60.1px | cmd vx=5.00 vy=2.17 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.68
[CONTROL] det_conf=0.56 | err_x=108.6px err_y=-60.3px | cmd vx=5.00 vy=2.17 vz=-1.81 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.68
[CONTROL] det_conf=0.52 | err_x=108.5px err_y=-60.1px | cmd vx=5.00 vy=2.17 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.69
[CONTROL] det_conf=0.58 | err_x=108.4px err_y=-60.1px | cmd vx=5.00 vy=2.17 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.69
[CONTROL] det_conf=0.62 | err_x=109.0px err_y=-60.0px | cmd vx=5.00 vy=2.18 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.69
[CONTROL] det_conf=0.61 | err_x=109.0px err_y=-60.1px | cmd vx=5.00 vy=2.18 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.69
[CONTROL] det_conf=0.59 | err_x=108.8px err_y=-60.1px | cmd vx=5.00 vy=2.18 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.70
[CONTROL] det_conf=0.52 | err_x=108.8px err_y=-60.3px | cmd vx=5.00 vy=2.18 vz=-1.81 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.70
[CONTROL] det_conf=0.54 | err_x=109.0px err_y=-60.3px | cmd vx=5.00 vy=2.18 vz=-1.81 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.71
[CONTROL] det_conf=0.55 | err_x=108.9px err_y=-60.1px | cmd vx=5.00 vy=2.18 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.71
[CONTROL] det_conf=0.58 | err_x=109.0px err_y=-60.2px | cmd vx=5.00 vy=2.18 vz=-1.81 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.72
[CONTROL] det_conf=0.60 | err_x=109.0px err_y=-60.1px | cmd vx=5.00 vy=2.18 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.72
[CONTROL] det_conf=0.59 | err_x=108.9px err_y=-60.1px | cmd vx=5.00 vy=2.18 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.73
[CONTROL] det_conf=0.61 | err_x=109.0px err_y=-60.1px | cmd vx=5.00 vy=2.18 vz=-1.80 | meas vx=0.00 vy=-0.01 vz=-0.09 | Alt=0.73
[CONTROL] det_conf=0.60 | err_x=108.9px err_y=-60.2px | cmd vx=5.00 vy=2.18 vz=-1.81 | meas vx=0.00 vy=0.00 vz=-0.10 | Alt=0.74
[CONTROL] det_conf=0.49 | err_x=108.7px err_y=-60.2px | cmd vx=5.00 vy=2.17 vz=-1.81 | meas vx=0.00 vy=0.00 vz=-0.10 | Alt=0.74
[CONTROL] det_conf=0.48 | err_x=108.7px err_y=-60.0px | cmd vx=5.00 vy=2.17 vz=-1.80 | meas vx=0.00 vy=0.00 vz=-0.10 | Alt=0.75
[CONTROL] det_conf=0.60 | err_x=108.8px err_y=-60.0px | cmd vx=5.00 vy=2.18 vz=-1.80 | meas vx=0.00 vy=0.00 vz=-0.10 | Alt=0.75
[CONTROL] det_conf=0.51 | err_x=108.6px err_y=-60.2px | cmd vx=5.00 vy=2.17 vz=-1.81 | meas vx=0.00 vy=0.00 vz=-0.10 | Alt=0.76
[CONTROL] det_conf=0.54 | err_x=108.7px err_y=-60.1px | cmd vx=5.00 vy=2.17 vz=-1.80 | meas vx=0.00 vy=0.00 vz=-0.10 | Alt=0.76
[CONTROL] det_conf=0.54 | err_x=108.8px err_y=-60.1px | cmd vx=5.00 vy=2.18 vz=-1.80 | meas vx=0.00 vy=0.00 vz=-0.10 | Alt=0.77
[CONTROL] det_conf=0.57 | err_x=109.0px err_y=-60.0px | cmd vx=5.00 vy=2.18 vz=-1.80 | meas vx=0.00 vy=0.00 vz=-0.10 | Alt=0.78
