[INFO] Connecting to vehicle at 127.0.0.1:14550 ...
[INFO] Setting GUIDED mode ...
[INFO] Arming motors ...
[INFO] Taking off to 15.0 m ...
[TAKEOFF] Alt: 0.23 m
[INFO] Target altitude reached (≈95%).
[INFO] Loading YOLO model: yolo11l.pt
[INFO] Entering detection + control loop ... (press 'q' to quit window)
[CONTROL] det_conf=0.33 | err_x=125.0px err_y=205.1px | cmd vx=5.00 vy=2.50 vz=4.00 | meas vx=0.00 vy=0.00 vz=0.00 | Alt=0.12
[CONTROL] det_conf=0.65 | err_x=124.5px err_y=206.3px | cmd vx=5.00 vy=2.49 vz=4.00 | meas vx=0.01 vy=0.01 vz=0.00 | Alt=0.11
[CONTROL] det_conf=0.33 | err_x=124.7px err_y=206.6px | cmd vx=5.00 vy=2.49 vz=4.00 | meas vx=0.01 vy=0.02 vz=0.00 | Alt=0.10
[CONTROL] det_conf=0.37 | err_x=124.6px err_y=207.6px | cmd vx=5.00 vy=2.49 vz=4.00 | meas vx=0.01 vy=0.01 vz=0.00 | Alt=0.09
[CONTROL] det_conf=0.29 | err_x=124.7px err_y=207.3px | cmd vx=5.00 vy=2.49 vz=4.00 | meas vx=0.01 vy=0.01 vz=0.00 | Alt=0.09
[CONTROL] det_conf=0.26 | err_x=124.8px err_y=206.2px | cmd vx=5.00 vy=2.50 vz=4.00 | meas vx=0.00 vy=0.02 vz=0.00 | Alt=0.07
[CONTROL] det_conf=0.53 | err_x=124.3px err_y=207.2px | cmd vx=5.00 vy=2.49 vz=4.00 | meas vx=0.00 vy=0.02 vz=0.00 | Alt=0.07
[CONTROL] det_conf=0.47 | err_x=124.6px err_y=207.8px | cmd vx=5.00 vy=2.49 vz=4.00 | meas vx=0.01 vy=0.02 vz=0.01 | Alt=0.06
[CONTROL] det_conf=0.51 | err_x=124.6px err_y=206.9px | cmd vx=5.00 vy=2.49 vz=4.00 | meas vx=0.01 vy=0.02 vz=0.01 | Alt=0.06
[CONTROL] det_conf=0.27 | err_x=124.6px err_y=206.6px | cmd vx=5.00 vy=2.49 vz=4.00 | meas vx=0.01 vy=0.01 vz=0.01 | Alt=0.04
[CONTROL] det_conf=0.47 | err_x=124.5px err_y=207.3px | cmd vx=5.00 vy=2.49 vz=4.00 | meas vx=0.01 vy=0.01 vz=0.01 | Alt=0.04
[CONTROL] det_conf=0.35 | err_x=124.7px err_y=208.0px | cmd vx=5.00 vy=2.49 vz=4.00 | meas vx=0.00 vy=0.02 vz=0.01 | Alt=0.04
[CONTROL] det_conf=0.37 | err_x=124.7px err_y=207.5px | cmd vx=5.00 vy=2.49 vz=4.00 | meas vx=0.00 vy=0.02 vz=0.01 | Alt=0.04
[CONTROL] det_conf=0.40 | err_x=124.5px err_y=206.9px | cmd vx=5.00 vy=2.49 vz=4.00 | meas vx=0.00 vy=0.01 vz=0.01 | Alt=0.04
[CONTROL] det_conf=0.29 | err_x=124.6px err_y=206.5px | cmd vx=5.00 vy=2.49 vz=4.00 | meas vx=0.00 vy=0.01 vz=0.00 | Alt=0.04
